epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,9710.69,0.8359,1.45919,0.55738,1.09417,0.96387,0.93343,0.97495,0.75309,0.96107,0.93223,0.97132,0.63945,0.86273,1.41802,0.47602,1.17204,0.000440407,0.000440407,0.000440407
60,9878.35,0.83453,1.45404,0.56108,1.10619,0.95121,0.93079,0.96995,0.75734,0.95747,0.93549,0.96751,0.64766,0.87575,1.41946,0.47409,1.17647,0.000423363,0.000423363,0.000423363
61,10047.2,0.82318,1.44863,0.55975,1.09404,0.96578,0.93369,0.97236,0.74999,0.96476,0.93253,0.96639,0.63562,0.89906,1.46686,0.47956,1.19562,0.000406318,0.000406318,0.000406318
62,10213.7,0.82249,1.43746,0.55049,1.09609,0.96324,0.93987,0.98028,0.76561,0.95058,0.94802,0.97595,0.65079,0.85386,1.42354,0.4631,1.16508,0.000389273,0.000389273,0.000389273
63,10383.2,0.81064,1.43487,0.54546,1.09711,0.95052,0.94924,0.97857,0.76859,0.95274,0.93875,0.974,0.65689,0.84912,1.39724,0.45847,1.15505,0.000372229,0.000372229,0.000372229
64,10550.8,0.81541,1.41451,0.54165,1.09067,0.96764,0.93665,0.97901,0.76929,0.96625,0.93758,0.97279,0.65577,0.8519,1.41483,0.44943,1.16441,0.000355184,0.000355184,0.000355184
65,10719,0.80201,1.39839,0.53887,1.08341,0.97022,0.94001,0.98018,0.77267,0.97495,0.94129,0.97901,0.65623,0.8503,1.38435,0.45324,1.16548,0.000338139,0.000338139,0.000338139
66,10888,0.79563,1.4148,0.52127,1.08214,0.9633,0.93957,0.97771,0.77452,0.96639,0.94064,0.97758,0.65926,0.84249,1.38493,0.44968,1.1586,0.000321095,0.000321095,0.000321095
67,11057.8,0.81449,1.4197,0.52915,1.08963,0.9605,0.94154,0.97365,0.77164,0.96434,0.94528,0.97554,0.65805,0.85261,1.40141,0.45492,1.14766,0.00030405,0.00030405,0.00030405
68,11224.2,0.7849,1.39001,0.51284,1.07616,0.95917,0.94412,0.97361,0.77153,0.96182,0.94672,0.97215,0.66112,0.85187,1.37897,0.44615,1.16342,0.000287005,0.000287005,0.000287005
69,11391.6,0.78425,1.36967,0.50603,1.06978,0.96537,0.94023,0.9742,0.77548,0.9654,0.94025,0.97306,0.6612,0.8508,1.38608,0.44528,1.16011,0.00026996,0.00026996,0.00026996
70,11561.4,0.78576,1.38071,0.50249,1.06894,0.97198,0.94535,0.98316,0.77614,0.97573,0.94769,0.9795,0.66211,0.84076,1.37727,0.43319,1.13759,0.000252916,0.000252916,0.000252916
71,11730.8,0.77506,1.36401,0.50324,1.07033,0.95894,0.94054,0.97629,0.77728,0.95854,0.94438,0.97493,0.66597,0.83392,1.37242,0.43825,1.14983,0.000235871,0.000235871,0.000235871
72,11900.1,0.77192,1.38172,0.48882,1.06718,0.97109,0.95012,0.97644,0.77748,0.97117,0.95018,0.97705,0.6632,0.8426,1.38381,0.42865,1.14931,0.000218826,0.000218826,0.000218826
73,12067.8,0.7643,1.34171,0.48324,1.06212,0.97081,0.93842,0.97825,0.78705,0.97226,0.93981,0.97794,0.6733,0.81501,1.36018,0.42198,1.13661,0.000201782,0.000201782,0.000201782
74,12235.3,0.66918,1.1484,0.38015,1.0257,0.97076,0.94044,0.97921,0.78551,0.97222,0.94182,0.9767,0.66181,0.82354,1.40614,0.4284,1.14045,0.000184737,0.000184737,0.000184737
75,12400.3,0.65151,1.1229,0.36094,1.01739,0.96804,0.9481,0.9786,0.78206,0.97224,0.94904,0.98061,0.66825,0.81879,1.37919,0.42709,1.14265,0.000167692,0.000167692,0.000167692
76,12564.9,0.64218,1.10306,0.34783,1.00502,0.97355,0.94228,0.98014,0.78623,0.97837,0.94318,0.97966,0.67472,0.83004,1.384,0.42076,1.14203,0.000150648,0.000150648,0.000150648
77,12730.2,0.63224,1.09384,0.34398,1.00278,0.97299,0.94257,0.98021,0.79322,0.97965,0.94183,0.98023,0.67586,0.81247,1.3587,0.4224,1.13325,0.000133603,0.000133603,0.000133603
78,12896.6,0.62178,1.09109,0.34369,0.99689,0.97501,0.93484,0.97182,0.78367,0.97916,0.93874,0.97438,0.67068,0.82284,1.39875,0.42647,1.1455,0.000116558,0.000116558,0.000116558
79,13060.3,0.61847,1.06988,0.33213,0.99119,0.97037,0.9407,0.97682,0.79173,0.97447,0.94464,0.97772,0.6776,0.8082,1.36989,0.42712,1.13195,9.95135e-05,9.95135e-05,9.95135e-05
80,13225,0.61027,1.07584,0.33123,0.9889,0.97089,0.94373,0.97663,0.79077,0.97626,0.94893,0.97717,0.67821,0.81956,1.38426,0.4198,1.14143,8.24688e-05,8.24688e-05,8.24688e-05
81,13389.5,0.59517,1.0562,0.3185,0.98155,0.96917,0.94434,0.97652,0.79085,0.97187,0.94696,0.97347,0.67886,0.81527,1.37772,0.41686,1.13665,6.54241e-05,6.54241e-05,6.54241e-05
82,13553.8,0.59138,1.05158,0.3211,0.97754,0.97447,0.9418,0.97876,0.79368,0.97771,0.94353,0.97586,0.67967,0.80916,1.37295,0.41137,1.13557,4.83794e-05,4.83794e-05,4.83794e-05
83,13720.4,0.58738,1.04758,0.3143,0.96999,0.97728,0.93745,0.97853,0.79639,0.98004,0.94011,0.97651,0.67952,0.80863,1.37238,0.40911,1.13464,3.13347e-05,3.13347e-05,3.13347e-05
